Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Sprite
Meditite,"Fighting, Psychic",Meditate Pokémon,0.6 m (2′00″),11.2 kg (24.7 lbs),"1. Pure Power, Telepathy (hidden ability)",1 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),56,Medium Fast,Human-Like,"50% male, 50% female","20 (4,884–5,140 steps)",30,170,264,40,76,196,55,103,229,40,76,196,55,103,229,60,112,240,Meditite.png
Meganium,Grass,Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs),"1. Overgrow, Leaf Guard (hidden ability)","1 Defense, 2 Sp. Def","45 (5.9% with PokéBall, full HP)",50 (normal),236,Medium Slow,"Grass, Monster","87.5% male, 12.5% female","20 (4,884–5,140 steps)",80,270,364,82,152,289,100,184,328,83,153,291,100,184,328,80,148,284,Meganium.png
Melmetal,Steel,Hex Nut Pokémon,2.5 m (8′02″),800.0 kg (1763.7 lbs),1. Iron Fist,3 Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),300,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",135,380,474,143,261,423,143,261,423,80,148,284,65,121,251,34,65,183,Melmetal.png
Meloetta Aria Forme,"Normal, Psychic",Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs),1. Serene Grace,"1 Sp. Atk, 1 Sp. Def, 1 Speed","3 (0.4% with PokéBall, full HP)",100 (higher than normal),300,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,77,143,278,77,143,278,128,234,390,128,234,390,90,166,306,Meloetta (Aria Forme).png
Meloetta Pirouette Forme,"Normal, Fighting",Melody Pokémon,0.6 m (2′00″),6.5 kg (14.3 lbs),1. Serene Grace,"1 Attack, 1 Defense, 1 Speed","3 (0.4% with PokéBall, full HP)",100 (higher than normal),300,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,128,234,390,90,166,306,77,143,278,77,143,278,128,234,390,Meloetta (Pirouette Forme).png
Meltan,Steel,Hex Nut Pokémon,0.2 m (0′08″),8.0 kg (17.6 lbs),1. Magnet Pull,1 Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),150,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",46,202,296,65,121,251,65,121,251,55,103,229,35,67,185,34,65,183,Meltan.png
Meowscarada,"Grass, Dark",Magician Pokémon,1.5 m (4′11″),31.2 kg (68.8 lbs),"1. Overgrow, Protean (hidden ability)",3 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Slow,"Field, Grass","87.5% male, 12.5% female","20 (4,884–5,140 steps)",76,262,356,110,202,350,70,130,262,81,150,287,70,130,262,123,225,379,Meowscarada.png
Meowstic Male,Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"1. Keen Eye, 2. Infiltrator, Prankster (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Field,"100% male, 0% female","20 (4,884–5,140 steps)",74,258,352,48,90,214,76,141,276,83,153,291,81,150,287,104,191,337,Meowstic (Male).png
Meowstic Female,Psychic,Constraint Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"1. Keen Eye, 2. Infiltrator, Competitive (hidden ability)",2 Speed,"75 (9.8% with PokéBall, full HP)",50 (normal),163,Medium Fast,Field,"0% male, 100% female","20 (4,884–5,140 steps)",74,258,352,48,90,214,76,141,276,83,153,291,81,150,287,104,191,337,Meowstic (Female).png
Meowth,Normal,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Pickup, 2. Technician, Unnerve (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,45,85,207,35,67,185,40,76,196,40,76,196,90,166,306,Meowth.png
Alolan Meowth,Dark,Scratch Cat Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Pickup, 2. Technician, Rattled (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,35,67,185,35,67,185,50,94,218,40,76,196,90,166,306,Alolan Meowth.png
Galarian Meowth,Steel,Scratch Cat Pokémon,0.4 m (1′04″),7.5 kg (16.5 lbs),"1. Pickup, 2. Tough Claws, Unnerve (hidden ability)",1 Attack,"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,65,121,251,55,103,229,40,76,196,40,76,196,40,76,196,Galarian Meowth.png
Mesprit,Psychic,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"1 Attack, 1 Sp. Atk, 1 Sp. Def","3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",80,270,364,105,193,339,105,193,339,105,193,339,105,193,339,80,148,284,Mesprit.png
Metagross,"Steel, Psychic",Iron Leg Pokémon,1.6 m (5′03″),550.0 kg (1212.5 lbs),"1. Clear Body, Light Metal (hidden ability)",3 Defense,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),270,Slow,Mineral,Genderless,"40 (10,024–10,280 steps)",80,270,364,135,247,405,130,238,394,95,175,317,90,166,306,70,130,262,Metagross.png
Mega Metagross,"Steel, Psychic",Iron Leg Pokémon,2.5 m (8′02″),942.9 kg (2078.7 lbs),1. Tough Claws,3 Defense,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),315,Slow,Mineral,Genderless,"40 (10,024–10,280 steps)",80,270,364,145,265,427,150,274,438,105,193,339,110,202,350,110,202,350,Mega Metagross.png
Metang,"Steel, Psychic",Iron Claw Pokémon,1.2 m (3′11″),202.5 kg (446.4 lbs),"1. Clear Body, Light Metal (hidden ability)",2 Defense,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),147,Slow,Mineral,Genderless,"40 (10,024–10,280 steps)",60,230,324,75,139,273,100,184,328,55,103,229,80,148,284,50,94,218,Metang.png
Metapod,Bug,Cocoon Pokémon,0.7 m (2′04″),9.9 kg (21.8 lbs),1. Shed Skin,2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),72,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,20,40,152,55,103,229,25,49,163,25,49,163,30,58,174,Metapod.png
Mew,Psychic,New Species Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),1. Synchronize,3 HP,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),300,Medium Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",100,310,404,100,184,328,100,184,328,100,184,328,100,184,328,100,184,328,Mew.png
Mewtwo,Psychic,Genetic Pokémon,2.0 m (6′07″),122.0 kg (269.0 lbs),"1. Pressure, Unnerve (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),340,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",106,322,416,110,202,350,90,166,306,154,281,447,90,166,306,130,238,394,Mewtwo.png
Mega Mewtwo X,"Psychic, Fighting",Genetic Pokémon,2.3 m (7′07″),127.0 kg (280.0 lbs),1. Steadfast,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),351,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",106,322,416,190,346,526,100,184,328,154,281,447,100,184,328,130,238,394,Mega Mewtwo X.png
Mega Mewtwo Y,Psychic,Genetic Pokémon,1.5 m (4′11″),33.0 kg (72.8 lbs),1. Insomnia,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),351,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",106,322,416,150,274,438,70,130,262,194,353,535,120,220,372,140,256,416,Mega Mewtwo Y.png
Mienfoo,Fighting,Martial Arts Pokémon,0.9 m (2′11″),20.0 kg (44.1 lbs),"1. Inner Focus, 2. Regenerator, Reckless (hidden ability)",1 Attack,"180 (23.5% with PokéBall, full HP)",50 (normal),70,Medium Slow,"Field, Human-Like","50% male, 50% female","25 (6,169–6,425 steps)",45,200,294,85,157,295,50,94,218,55,103,229,50,94,218,65,121,251,Mienfoo.png
Mienshao,Fighting,Martial Arts Pokémon,1.4 m (4′07″),35.5 kg (78.3 lbs),"1. Inner Focus, 2. Regenerator, Reckless (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,"Field, Human-Like","50% male, 50% female","25 (6,169–6,425 steps)",65,240,334,125,229,383,60,112,240,95,175,317,60,112,240,105,193,339,Mienshao.png
Mightyena,Dark,Bite Pokémon,1.0 m (3′03″),37.0 kg (81.6 lbs),"1. Intimidate, 2. Quick Feet, Moxie (hidden ability)",2 Attack,"127 (16.6% with PokéBall, full HP)",50 (normal),147,Medium Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,90,166,306,70,130,262,60,112,240,60,112,240,70,130,262,Mightyena.png
Milcery,Fairy,Cream Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs),"1. Sweet Veil, Aroma Veil (hidden ability)",1 Sp. Def,"200 (26.1% with PokéBall, full HP)",50 (normal),54,Medium Fast,"Amorphous, Fairy","0% male, 100% female","20 (4,884–5,140 steps)",45,200,294,40,76,196,40,76,196,50,94,218,61,114,243,34,65,183,Milcery.png
Milotic,Water,Tender Pokémon,6.2 m (20′04″),162.0 kg (357.1 lbs),"1. Marvel Scale, 2. Competitive, Cute Charm (hidden ability)",2 Sp. Def,"60 (7.8% with PokéBall, full HP)",50 (normal),189,Erratic,"Dragon, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,60,112,240,79,146,282,100,184,328,125,229,383,81,150,287,Milotic.png
Miltank,Normal,Milk Cow Pokémon,1.2 m (3′11″),75.5 kg (166.4 lbs),"1. Thick Fat, 2. Scrappy, Sap Sipper (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Slow,Field,"0% male, 100% female","20 (4,884–5,140 steps)",95,300,394,80,148,284,105,193,339,40,76,196,70,130,262,100,184,328,Miltank.png
Mime Jr.,"Psychic, Fairy",Mime Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs),"1. Soundproof, 2. Filter, Technician (hidden ability)",1 Sp. Def,"145 (19.0% with PokéBall, full HP)",50 (normal),62,Medium Fast,Undiscovered,"50% male, 50% female","25 (6,169–6,425 steps)",20,150,244,25,49,163,45,85,207,70,130,262,90,166,306,60,112,240,Mime Jr..png
Mimikyu,"Ghost, Fairy",Disguise Pokémon,0.2 m (0′08″),0.7 kg (1.5 lbs),1. Disguise,2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),167,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,90,166,306,80,148,284,50,94,218,105,193,339,96,177,320,Mimikyu.png
Minccino,Normal,Chinchilla Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),"1. Cute Charm, 2. Technician, Skill Link (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Fast,Field,"25% male, 75% female","15 (3,599–3,855 steps)",55,220,314,50,94,218,40,76,196,40,76,196,40,76,196,75,139,273,Minccino.png
Minior Meteor Form,"Rock, Flying",Meteor Pokémon,0.3 m (1′00″),40.0 kg (88.2 lbs),1. Shields Down,"1 Defense, 1 Sp. Def","30 (3.9% with PokéBall, full HP)",50 (normal),154,Medium Slow,Mineral,Genderless,"25 (6,169–6,425 steps)",60,230,324,60,112,240,100,184,328,60,112,240,100,184,328,60,112,240,Minior (Meteor Form).png
Minior Core Form,"Rock, Flying",Meteor Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Shields Down,"1 Attack, 1 Sp. Atk","30 (3.9% with PokéBall, full HP)",50 (normal),175,Medium Slow,Mineral,Genderless,"25 (6,169–6,425 steps)",60,230,324,100,184,328,60,112,240,100,184,328,60,112,240,120,220,372,Minior (Core Form).png
Minun,Electric,Cheering Pokémon,0.4 m (1′04″),4.2 kg (9.3 lbs),"1. Minus, Volt Absorb (hidden ability)",1 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),142,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,40,76,196,50,94,218,75,139,273,85,157,295,95,175,317,Minun.png
Miraidon,"Electric, Dragon",Paradox Pokémon,3.5 m (11′06″),240.0 kg (529.1 lbs),1. Hadron Engine,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),335,Slow,Undiscovered,Genderless,"50 (12,594–12,850 steps)",100,310,404,85,157,295,100,184,328,135,247,405,115,211,361,135,247,405,Miraidon.png
Misdreavus,Ghost,Screech Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs),1. Levitate,1 Sp. Def,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),87,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",60,230,324,60,112,240,60,112,240,85,157,295,85,157,295,85,157,295,Misdreavus.png
Mismagius,Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs),1. Levitate,"1 Sp. Atk, 1 Sp. Def","45 (5.9% with PokéBall, full HP)",35 (lower than normal),173,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",60,230,324,60,112,240,60,112,240,105,193,339,105,193,339,105,193,339,Mismagius.png
Moltres,"Fire, Flying",Flame Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Pressure, Flame Body (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",90,290,384,100,184,328,90,166,306,125,229,383,85,157,295,90,166,306,Moltres.png
Galarian Moltres,"Dark, Flying",Malevolent Pokémon,2.0 m (6′07″),66.0 kg (145.5 lbs),1. Berserk,3 Sp. Def,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,90,166,306,100,184,328,125,229,383,90,166,306,Galarian Moltres.png
Monferno,"Fire, Fighting",Playful Pokémon,0.9 m (2′11″),22.0 kg (48.5 lbs),"1. Blaze, Iron Fist (hidden ability)","1 Sp. Atk, 1 Speed","45 (5.9% with PokéBall, full HP)",50 (normal),142,Medium Slow,"Field, Human-Like","87.5% male, 12.5% female","20 (4,884–5,140 steps)",64,238,332,78,144,280,52,98,223,78,144,280,52,98,223,81,150,287,Monferno.png
Morelull,"Grass, Fairy",Illuminating Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Illuminate, 2. Effect Spore, Rain Dish (hidden ability)",1 Sp. Def,"190 (24.8% with PokéBall, full HP)",50 (normal),57,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,35,67,185,55,103,229,65,121,251,75,139,273,15,31,141,Morelull.png
Morgrem,"Dark, Fairy",Devious Pokémon,0.8 m (2′07″),12.5 kg (27.6 lbs),"1. Prankster, 2. Frisk, Pickpocket (hidden ability)",2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),130,Medium Fast,"Fairy, Human-Like","100% male, 0% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,45,85,207,75,139,273,55,103,229,70,130,262,Morgrem.png
Morpeko Full Belly Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,2 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),153,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322,Morpeko (Full Belly Mode).png
Morpeko Hangry Mode,"Electric, Dark",Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),1. Hunger Switch,2 Speed,"180 (23.5% with PokéBall, full HP)",50 (normal),153,Medium Fast,"Fairy, Field","50% male, 50% female","10 (2,314–2,570 steps)",58,226,320,95,175,317,58,108,236,70,130,262,58,108,236,97,179,322,Morpeko (Hangry Mode).png
Mothim,"Bug, Flying",Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs),"1. Swarm, Tinted Lens (hidden ability)","1 Attack, 1 Sp. Atk","45 (5.9% with PokéBall, full HP)",50 (normal),148,Medium Fast,Bug,"100% male, 0% female","15 (3,599–3,855 steps)",70,250,344,94,173,315,50,94,218,94,173,315,50,94,218,66,123,254,Mothim.png
Mr. Mime,"Psychic, Fairy",Barrier Pokémon,1.3 m (4′03″),54.5 kg (120.2 lbs),"1. Soundproof, 2. Filter, Technician (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",40,190,284,45,85,207,65,121,251,100,184,328,120,220,372,90,166,306,Mr. Mime.png
Galarian Mr. Mime,"Ice, Psychic",Dancing Pokémon,1.4 m (4′07″),56.8 kg (125.2 lbs),"1. Vital Spirit, 2. Screen Cleaner, Ice Body (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),161,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",50,210,304,65,121,251,65,121,251,90,166,306,90,166,306,100,184,328,Galarian Mr. Mime.png
Mr. Rime,"Ice, Psychic",Comedian Pokémon,1.5 m (4′11″),58.2 kg (128.3 lbs),"1. Tangled Feet, 2. Screen Cleaner, Ice Body (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),182,Medium Fast,Human-Like,"50% male, 50% female","25 (6,169–6,425 steps)",80,270,364,85,157,295,75,139,273,110,202,350,100,184,328,70,130,262,Mr. Rime.png
Mudbray,Ground,Donkey Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)",1 Attack,"190 (24.8% with PokéBall, full HP)",50 (normal),77,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,100,184,328,70,130,262,45,85,207,55,103,229,45,85,207,Mudbray.png
Mudkip,Water,Mud Fish Pokémon,0.4 m (1′04″),7.6 kg (16.8 lbs),"1. Torrent, Damp (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),62,Medium Slow,"Monster, Water 1","87.5% male, 12.5% female","20 (4,884–5,140 steps)",50,210,304,70,130,262,50,94,218,50,94,218,50,94,218,40,76,196,Mudkip.png
Mudsdale,Ground,Draft Horse Pokémon,2.5 m (8′02″),920.0 kg (2028.3 lbs),"1. Own Tempo, 2. Stamina, Inner Focus (hidden ability)",2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",100,310,404,125,229,383,100,184,328,55,103,229,85,157,295,35,67,185,Mudsdale.png
Muk,Poison,Sludge Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs),"1. Stench, 2. Sticky Hold, Poison Touch (hidden ability)","1 HP, 1 Attack","75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218,Muk.png
Alolan Muk,"Poison, Dark",Sludge Pokémon,1.0 m (3′03″),52.0 kg (114.6 lbs),"1. Poison Touch, 2. Gluttony, Power of Alchemy (hidden ability)","1 HP, 1 Attack","75 (9.8% with PokéBall, full HP)",50 (normal),175,Medium Fast,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,105,193,339,75,139,273,65,121,251,100,184,328,50,94,218,Alolan Muk.png
Munchlax,Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Pickup, 2. Thick Fat, Gluttony (hidden ability)",1 HP,"50 (6.5% with PokéBall, full HP)",50 (normal),78,Slow,Undiscovered,"87.5% male, 12.5% female","40 (10,024–10,280 steps)",135,380,474,85,157,295,40,76,196,40,76,196,85,157,295,5,13,119,Munchlax.png
Munkidori,"Poison, Psychic",Retainer Pokémon,1.0 m (3′03″),12.2 kg (26.9 lbs),"1. Toxic Chain, Frisk (hidden ability)",3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",—,—,Slow,Undiscovered,"100% male, 0% female",—,88,286,380,75,139,273,66,123,254,130,238,394,90,166,306,106,195,342,Munkidori.png
Munna,Psychic,Dream Eater Pokémon,0.6 m (2′00″),23.3 kg (51.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),58,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)",76,262,356,25,49,163,45,85,207,67,125,256,55,103,229,24,47,161,Munna.png
Murkrow,"Dark, Flying",Darkness Pokémon,0.5 m (1′08″),2.1 kg (4.6 lbs),"1. Insomnia, 2. Super Luck, Prankster (hidden ability)",1 Speed,"30 (3.9% with PokéBall, full HP)",35 (lower than normal),81,Medium Slow,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,85,157,295,42,80,201,85,157,295,42,80,201,91,168,309,Murkrow.png
Musharna,Psychic,Drowsing Pokémon,1.1 m (3′07″),60.5 kg (133.4 lbs),"1. Forewarn, 2. Synchronize, Telepathy (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Fast,Field,"50% male, 50% female","10 (2,314–2,570 steps)",116,342,436,55,103,229,85,157,295,107,197,344,95,175,317,29,56,172,Musharna.png
Nacli,Rock,Rock Salt Pokémon,0.4 m (1′04″),16.0 kg (35.3 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,55,103,229,75,139,273,35,67,185,35,67,185,25,49,163,Nacli.png
Naclstack,Rock,Rock Salt Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)",2 Defense,"120 (15.7% with PokéBall, full HP)",50 (normal),124,Medium Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,60,112,240,100,184,328,35,67,185,65,121,251,35,67,185,Naclstack.png
Naganadel,"Poison, Dragon",Poison Pin Pokémon,3.6 m (11′10″),150.0 kg (330.7 lbs),1. Beast Boost,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",0 (lower than normal),243,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",73,256,350,73,135,269,73,135,269,127,233,388,73,135,269,121,222,375,Naganadel.png
Natu,"Psychic, Flying",Tiny Bird Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Synchronize, 2. Early Bird, Magic Bounce (hidden ability)",1 Sp. Atk,"190 (24.8% with PokéBall, full HP)",50 (normal),64,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,50,94,218,45,85,207,70,130,262,45,85,207,70,130,262,Natu.png
Necrozma,Psychic,Prism Pokémon,2.4 m (7′10″),230.0 kg (507.1 lbs),1. Prism Armor,"1 Attack, 2 Sp. Atk","255 (33.3% with PokéBall, full HP)",0 (lower than normal),270,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,107,197,344,101,186,331,127,233,388,89,164,304,79,146,282,Necrozma.png
Dusk Mane Necrozma,"Psychic, Steel",Prism Pokémon,3.8 m (12′06″),460.0 kg (1014.1 lbs),1. Prism Armor,3 Attack,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,157,287,454,127,233,388,113,207,357,109,200,348,77,143,278,Necrozma (Dusk Mane Necrozma).png
Dawn Wings Necrozma,"Psychic, Ghost",Prism Pokémon,4.2 m (13′09″),350.0 kg (771.6 lbs),1. Prism Armor,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),306,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,113,207,357,109,200,348,157,287,454,127,233,388,77,143,278,Necrozma (Dawn Wings Necrozma).png
Ultra Necrozma,"Psychic, Dragon",Prism Pokémon,7.5 m (24′07″),230.0 kg (507.1 lbs),1. Neuroforce,"1 Attack, 1 Sp. Atk, 1 Speed","3 (0.4% with PokéBall, full HP)",0 (lower than normal),339,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",97,304,398,167,305,476,97,179,322,167,305,476,97,179,322,129,236,392,Necrozma (Ultra Necrozma).png
Nickit,Dark,Fox Pokémon,0.6 m (2′00″),8.9 kg (19.6 lbs),"1. Run Away, 2. Unburden, Stakeout (hidden ability)",1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),49,Fast,Field,"50% male, 50% female","15 (3,599–3,855 steps)",40,190,284,28,54,170,28,54,170,47,89,212,52,98,223,50,94,218,Nickit.png
Nidoking,"Poison, Ground",Drill Pokémon,1.4 m (4′07″),62.0 kg (136.7 lbs),"1. Poison Point, 2. Rivalry, Sheer Force (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)",81,272,366,102,188,333,77,143,278,85,157,295,75,139,273,85,157,295,Nidoking.png
Nidoqueen,"Poison, Ground",Drill Pokémon,1.3 m (4′03″),60.0 kg (132.3 lbs),"1. Poison Point, 2. Rivalry, Sheer Force (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),227,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",90,290,384,92,170,311,87,161,300,75,139,273,85,157,295,76,141,276,Nidoqueen.png
Nidoran♀,Poison,Poison Pin Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",1 HP,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","0% male, 100% female","20 (4,884–5,140 steps)",55,220,314,47,89,212,52,98,223,40,76,196,40,76,196,41,78,199,Nidoran♀.png
Nidoran♂,Poison,Poison Pin Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",1 Attack,"235 (30.7% with PokéBall, full HP)",50 (normal),55,Medium Slow,"Field, Monster","100% male, 0% female","20 (4,884–5,140 steps)",46,202,296,57,107,234,40,76,196,40,76,196,40,76,196,50,94,218,Nidoran♂.png
Nidorina,Poison,Poison Pin Pokémon,0.8 m (2′07″),20.0 kg (44.1 lbs),"1. Poison Point, 2. Rivalry, Hustle (hidden ability)",2 HP,"120 (15.7% with PokéBall, full HP)",50 (normal),128,Medium Slow,Undiscovered,"0% male, 100% female","20 (4,884–5,140 steps)",70,250,344,62,116,245,67,125,256,55,103,229,55,103,229,56,105,232,Nidorina.png
